student_id,name,gender,race_ethnicity,parental_education,lunch,test_preparation_course,age,major
S0001,Student001,female,group B,bachelor's degree,standard,none,18,信息管理与信息系统
S0002,Student002,female,group C,some college,standard,completed,21,网络工程
S0003,Student003,female,group B,master's degree,standard,none,20,网络工程
S0004,Student004,male,group A,associate's degree,free/reduced,none,18,计算机科学与技术
S0005,Student005,male,group C,some college,standard,none,22,计算机科学与技术
S0006,Student006,female,group B,associate's degree,standard,none,19,网络工程
S0007,Student007,female,group B,some college,standard,completed,19,大数据技术
S0008,Student008,male,group B,some college,free/reduced,none,18,网络工程
S0009,Student009,male,group D,high school,free/reduced,completed,19,计算机科学与技术
S0010,Student010,female,group B,high school,free/reduced,none,18,软件工程
S0011,Student011,male,group C,associate's degree,standard,none,19,网络工程
S0012,Student012,male,group D,associate's degree,standard,none,22,网络工程
S0013,Student013,female,group B,high school,standard,none,20,大数据技术
S0014,Student014,male,group A,some college,standard,completed,22,软件工程
S0015,Student015,female,group A,master's degree,standard,none,20,大数据技术
S0016,Student016,female,group C,some high school,standard,none,19,计算机科学与技术
S0017,Student017,male,group C,high school,standard,none,21,大数据技术
S0018,Student018,female,group B,some high school,free/reduced,none,22,信息管理与信息系统
S0019,Student019,male,group C,master's degree,free/reduced,completed,22,网络工程
S0020,Student020,female,group C,associate's degree,free/reduced,none,22,网络工程
S0021,Student021,male,group D,high school,standard,none,18,信息管理与信息系统
S0022,Student022,female,group B,some college,free/reduced,completed,20,计算机科学与技术
S0023,Student023,male,group D,some college,standard,none,19,网络工程
S0024,Student024,female,group C,some high school,standard,none,19,大数据技术
S0025,Student025,male,group D,bachelor's degree,free/reduced,completed,19,软件工程
S0026,Student026,male,group A,master's degree,free/reduced,none,22,计算机科学与技术
S0027,Student027,male,group B,some college,standard,none,21,软件工程
S0028,Student028,female,group C,bachelor's degree,standard,none,19,大数据技术
S0029,Student029,male,group C,high school,standard,none,20,软件工程
S0030,Student030,female,group D,master's degree,standard,none,21,计算机科学与技术
S0031,Student031,female,group D,some college,standard,none,18,软件工程
S0032,Student032,female,group B,some college,standard,none,21,网络工程
S0033,Student033,female,group E,master's degree,free/reduced,none,20,软件工程
S0034,Student034,male,group D,some college,standard,none,22,网络工程
S0035,Student035,male,group E,some college,standard,none,21,信息管理与信息系统
S0036,Student036,male,group E,associate's degree,standard,completed,19,网络工程
S0037,Student037,female,group D,associate's degree,standard,none,22,网络工程
S0038,Student038,female,group D,some high school,free/reduced,none,21,网络工程
S0039,Student039,female,group D,associate's degree,free/reduced,completed,19,计算机科学与技术
S0040,Student040,male,group B,associate's degree,free/reduced,none,20,软件工程
S0041,Student041,male,group C,associate's degree,free/reduced,none,21,网络工程
S0042,Student042,female,group C,associate's degree,standard,none,19,信息管理与信息系统
S0043,Student043,female,group B,associate's degree,standard,none,19,大数据技术
S0044,Student044,male,group B,some college,free/reduced,completed,18,软件工程
S0045,Student045,female,group E,associate's degree,free/reduced,none,18,大数据技术
S0046,Student046,male,group B,associate's degree,standard,none,20,信息管理与信息系统
S0047,Student047,female,group A,associate's degree,standard,completed,18,网络工程
S0048,Student048,female,group C,high school,standard,none,20,软件工程
S0049,Student049,female,group D,associate's degree,free/reduced,completed,20,计算机科学与技术
S0050,Student050,male,group C,high school,standard,completed,18,网络工程
S0051,Student051,male,group E,some college,standard,none,19,信息管理与信息系统
S0052,Student052,male,group E,associate's degree,free/reduced,completed,18,信息管理与信息系统
S0053,Student053,male,group C,some college,standard,none,18,计算机科学与技术
S0054,Student054,male,group D,high school,standard,none,20,软件工程
S0055,Student055,female,group C,some high school,free/reduced,completed,18,大数据技术
S0056,Student056,female,group C,high school,free/reduced,none,21,网络工程
S0057,Student057,female,group E,associate's degree,standard,completed,19,计算机科学与技术
S0058,Student058,male,group D,associate's degree,standard,none,22,软件工程
S0059,Student059,male,group D,some college,standard,completed,18,计算机科学与技术
S0060,Student060,female,group C,some high school,free/reduced,none,21,信息管理与信息系统
S0061,Student061,male,group E,bachelor's degree,free/reduced,completed,20,计算机科学与技术
S0062,Student062,male,group A,some high school,free/reduced,none,22,大数据技术
S0063,Student063,male,group A,associate's degree,free/reduced,none,21,信息管理与信息系统
S0064,Student064,female,group C,associate's degree,standard,none,22,大数据技术
S0065,Student065,female,group D,some high school,standard,none,20,计算机科学与技术
S0066,Student066,male,group B,some high school,standard,none,19,信息管理与信息系统
S0067,Student067,male,group D,some high school,free/reduced,none,18,大数据技术
S0068,Student068,female,group C,some college,standard,none,22,软件工程
S0069,Student069,male,group B,associate's degree,free/reduced,none,19,软件工程
S0070,Student070,female,group C,associate's degree,standard,none,21,大数据技术
S0071,Student071,female,group D,some college,free/reduced,completed,20,大数据技术
S0072,Student072,male,group D,some college,standard,completed,19,计算机科学与技术
S0073,Student073,female,group A,associate's degree,free/reduced,none,20,软件工程
S0074,Student074,male,group C,some high school,free/reduced,none,21,大数据技术
S0075,Student075,male,group C,some high school,standard,none,20,网络工程
S0076,Student076,male,group B,associate's degree,free/reduced,none,22,大数据技术
S0077,Student077,male,group E,some high school,standard,none,22,信息管理与信息系统
S0078,Student078,male,group A,bachelor's degree,standard,completed,19,大数据技术
S0079,Student079,female,group D,some high school,standard,completed,20,计算机科学与技术
